GeneID,Temporal_Class
gene-phiYY_sL3,early
gene-phiYY_sM5,early
gene-phiYY_sS5,early
gene-phiYY_sL1,late
gene-phiYY_sS7,early
gene-phiYY_sL2,late
gene-phiYY_sS6,early
gene-phiYY_sM4,early
gene-phiYY_sS3,early
gene-phiYY_sM2,late
gene-phiYY_sS1,early
gene-phiYY_sS4,early
gene-phiYY_sM1,early
gene-phiYY_sM3,early
gene-phiYY_sS2,early
gene-phiYY_sL5,late
gene-phiYY_sL4,late
gene-phiYY_sS8,early
