Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA0799,host,gene-PA0799,6.448889394146858,6.813444599510896,6.723832440821209,6.5337888379333435,7.385851078125209,7.191429330036379,6.508769136971682,7.0825485693553,7.036148493750536,6.61338421837956,6.96979066990159,6.996681488176539,early
gene-PA4245,host,rpmD,9.614738244123924,9.255600503381046,9.265869681768663,9.501292093295586,10.458004649926544,10.299676435863896,10.201998282870223,10.247573587634447,10.319166983051264,10.30293458831873,10.445637409544144,10.396933012470582,early
gene-PA2512,host,antA,4.02535169073515,4.852030263919617,3.970291913552122,3.6888794541139363,4.624972813284271,3.8066624897703196,3.367295829986474,4.0943445622221,3.4011973816621555,3.6635616461296463,3.970291913552122,3.713572066704308,early
gene-PA3668,host,gene-PA3668,5.075173815233827,5.817111159963204,5.293304824724492,5.187385805840755,5.855071922202427,5.811140992976701,4.912654885736052,5.54907608489522,5.37989735354046,5.043425116919247,5.41610040220442,5.41610040220442,early
gene-PA0971,host,tolA,7.670428522190693,7.9724660159745655,7.988882253309227,7.697121317282625,8.452761331256848,8.078998258685154,7.989560449333865,8.158802490694002,8.288534459413917,7.7039102096163115,8.345455428161928,8.52615293278771,late
gene-PA5252,host,gene-PA5252,7.292337176173877,7.494430215031565,7.313886831633462,7.637234388789473,8.410498452745275,7.969703583278656,7.1276936993473985,7.993619994827744,7.355001921105257,7.117205503164344,7.507690077819904,7.689828668736484,early
gene-PA3095,host,xcpZ,5.075173815233827,5.6240175061873385,5.1298987149230735,4.718498871295094,5.627621113690637,5.1298987149230735,4.762173934797756,5.351858133476067,4.962844630259907,4.48863636973214,5.429345628954441,5.645446897643238,late
gene-PA4162,host,gene-PA4162,5.170483995038151,5.717027701406222,5.41610040220442,4.465908118654584,5.231108616854587,4.68213122712422,3.9318256327243257,4.499809670330265,4.634728988229636,4.406719247264253,4.9344739331306915,4.477336814478207,early
gene-PA4677,host,gene-PA4677,5.973809611869261,6.625392368007956,6.142037405587356,5.855071922202427,6.364750756851911,5.796057750765372,5.153291594497779,5.71042701737487,5.66988092298052,5.209486152841421,5.497168225293202,5.796057750765372,early
gene-PA0021,host,gene-PA0021,4.499809670330265,4.919980925828125,4.804021044733257,3.912023005428146,4.5217885770490405,3.6888794541139363,3.58351893845611,4.442651256490317,3.9318256327243257,3.4011973816621555,4.219507705176107,4.2626798770413155,early
gene-PA3939,host,gene-PA3939,4.477336814478207,4.605170185988092,4.736198448394496,4.454347296253507,4.948759890378168,4.927253685157205,3.9318256327243257,4.564348191467836,4.804021044733257,3.871201010907891,4.418840607796598,4.574710978503383,early
gene-PA4166,host,gene-PA4166,3.58351893845611,4.2626798770413155,4.110873864173311,3.258096538021482,5.117993812416755,3.8066624897703196,2.9444389791664403,4.406719247264253,3.9318256327243257,2.995732273553991,3.5553480614894135,3.970291913552122,early
gene-PA4179,host,gene-PA4179,5.3230099791384085,6.486160788944089,5.950642552587727,5.181783550292085,6.461468176353717,6.3578422665081,4.406719247264253,5.66988092298052,6.077642243349034,4.61512051684126,5.1298987149230735,5.313205979041787,early
gene-PA1128,host,gene-PA1128,4.912654885736052,5.976350909297934,5.043425116919247,4.543294782270004,5.594711379601839,4.867534450455582,4.060443010546419,4.700480365792417,5.176149732573829,4.356708826689592,4.948759890378168,4.941642422609304,early
