Geneid,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2,Entity,Symbol
gene-PHIKZ098,19,21,54,31.0,76.0,467.0,phage,gene-PHIKZ098
gene-PHIKZ236,81,77,677,310.0,38.0,172.0,phage,gene-PHIKZ236
gene-PHIKZ105,468,353,124,69.0,28.0,155.0,phage,gene-PHIKZ105
gene-PHIKZ199,0,5,15,7.0,17.0,94.0,phage,gene-PHIKZ199
gene-PHIKZ_p20,5,9,60,44.0,2.0,54.0,phage,gene-PHIKZ_p20
gene-PHIKZ115,144,124,75,41.0,16.0,60.0,phage,gene-PHIKZ115
gene-PHIKZ_p80,2,3,6,5.0,0.0,14.0,phage,gene-PHIKZ_p80
gene-PHIKZ284,276,219,740,434.0,83.0,301.0,phage,gene-PHIKZ284
gene-PHIKZ056,201,203,1189,728.0,186.0,511.0,phage,gene-PHIKZ056
gene-PHIKZ229,29,42,475,292.0,99.0,252.0,phage,gene-PHIKZ229
gene-PHIKZ021,80,75,57,25.0,13.0,49.0,phage,gene-PHIKZ021
gene-PHIKZ_p07,7,16,57,46.0,9.0,69.0,phage,gene-PHIKZ_p07
gene-PHIKZ250,166,148,118,98.0,25.0,116.0,phage,gene-PHIKZ250
gene-PHIKZ099,11,12,325,144.0,202.0,625.0,phage,gene-PHIKZ099
gene-PHIKZ_p42,3,3,41,38.0,11.0,49.0,phage,gene-PHIKZ_p42
gene-PHIKZ249,134,120,112,70.0,23.0,163.0,phage,gene-PHIKZ249
gene-PHIKZ104,24,22,38,24.0,16.0,103.0,phage,gene-PHIKZ104
gene-PHIKZ_p89,1,2,41,24.0,5.0,19.0,phage,gene-PHIKZ_p89
gene-PHIKZ020,107,99,65,26.0,4.0,46.0,phage,gene-PHIKZ020
gene-PHIKZ_p04,22,14,352,243.0,171.0,520.0,phage,gene-PHIKZ_p04
gene-PHIKZ_p44,1,3,64,23.0,62.0,187.0,phage,gene-PHIKZ_p44
gene-PHIKZ133,17,14,282,142.0,206.0,691.0,phage,gene-PHIKZ133
gene-PHIKZ_p84,3,3,142,77.0,7.0,58.0,phage,gene-PHIKZ_p84
gene-PHIKZ045,94,76,159,86.0,23.0,115.0,phage,gene-PHIKZ045
gene-PHIKZ232,113,118,428,265.0,34.0,243.0,phage,gene-PHIKZ232
gene-PHIKZ132,6,6,279,157.0,271.0,772.0,phage,gene-PHIKZ132
gene-PHIKZ_p47,8,3,7,8.0,15.0,74.0,phage,gene-PHIKZ_p47
gene-PHIKZ093,17,21,766,409.0,539.0,1816.0,phage,gene-PHIKZ093
gene-PHIKZ114,76,57,39,18.0,5.0,55.0,phage,gene-PHIKZ114
gene-PHIKZ140,10,8,80,44.0,76.0,282.0,phage,gene-PHIKZ140
gene-PHIKZ238,55,52,337,239.0,27.0,115.0,phage,gene-PHIKZ238
gene-PHIKZ259,15,11,78,71.0,8.0,66.0,phage,gene-PHIKZ259
gene-PHIKZ_p35,92,93,45,27.0,7.0,47.0,phage,gene-PHIKZ_p35
gene-PHIKZ175,23,8,114,59.0,153.0,579.0,phage,gene-PHIKZ175
gene-PHIKZ304,3,10,264,170.0,41.0,141.0,phage,gene-PHIKZ304
gene-PHIKZ_p45,0,0,7,4.0,23.0,85.0,phage,gene-PHIKZ_p45
gene-PHIKZ296,13,15,255,139.0,58.0,244.0,phage,gene-PHIKZ296
gene-PHIKZ064,9,13,1652,900.0,337.0,844.0,phage,gene-PHIKZ064
gene-PHIKZ214,34,31,329,203.0,47.0,259.0,phage,gene-PHIKZ214
gene-PHIKZ_p14,47,30,43,25.0,3.0,67.0,phage,gene-PHIKZ_p14
gene-PHIKZ_p54,151,106,721,384.0,46.0,239.0,phage,gene-PHIKZ_p54
gene-PHIKZ247,68,57,33,19.0,5.0,72.0,phage,gene-PHIKZ247
gene-PHIKZ_p56,283,223,928,483.0,59.0,118.0,phage,gene-PHIKZ_p56
gene-PHIKZ_p61,64,50,591,314.0,53.0,193.0,phage,gene-PHIKZ_p61
gene-PHIKZ013,235,206,91,48.0,13.0,44.0,phage,gene-PHIKZ013
gene-PHIKZ030,21,22,78,39.0,1105.0,2494.0,phage,gene-PHIKZ030
gene-PHIKZ027,28,29,407,200.0,623.0,1868.0,phage,gene-PHIKZ027
gene-PHIKZ265,6,7,18,14.0,2.0,41.0,phage,gene-PHIKZ265
gene-PHIKZ190,27,22,81,63.0,11.0,79.0,phage,gene-PHIKZ190
gene-PHIKZ_p09,1,0,3,13.0,1.0,27.0,phage,gene-PHIKZ_p09
gene-PHIKZ171,350,262,1462,922.0,133.0,362.0,phage,gene-PHIKZ171
gene-PHIKZ254,5,6,53,27.0,8.0,38.0,phage,gene-PHIKZ254
gene-PHIKZ_p40,50,38,499,263.0,268.0,445.0,phage,gene-PHIKZ_p40
gene-PHIKZ_p31,2,1,100,81.0,11.0,76.0,phage,gene-PHIKZ_p31
gene-PHIKZ016,204,202,210,109.0,20.0,96.0,phage,gene-PHIKZ016
gene-PHIKZ135,16,16,386,200.0,347.0,1185.0,phage,gene-PHIKZ135
gene-PHIKZ111,242,182,120,58.0,23.0,110.0,phage,gene-PHIKZ111
gene-PHIKZ144,5,3,70,37.0,151.0,535.0,phage,gene-PHIKZ144
gene-PHIKZ245,39,41,104,70.0,13.0,123.0,phage,gene-PHIKZ245
gene-PHIKZ251,41,46,54,33.0,6.0,93.0,phage,gene-PHIKZ251
gene-PHIKZ_p81,163,122,1606,854.0,175.0,367.0,phage,gene-PHIKZ_p81
gene-PHIKZ023,266,225,231,116.0,22.0,81.0,phage,gene-PHIKZ023
gene-PHIKZ256,3,4,9,1.0,0.0,43.0,phage,gene-PHIKZ256
gene-PHIKZ100,8,7,323,135.0,153.0,448.0,phage,gene-PHIKZ100
gene-PHIKZ193,68,46,1064,610.0,145.0,360.0,phage,gene-PHIKZ193
gene-PHIKZ227,44,37,273,161.0,40.0,150.0,phage,gene-PHIKZ227
gene-PHIKZ184,6,9,588,338.0,113.0,371.0,phage,gene-PHIKZ184
gene-PHIKZ_p03,33,31,14,6.0,7.0,21.0,phage,gene-PHIKZ_p03
gene-PHIKZ283,200,167,492,317.0,39.0,230.0,phage,gene-PHIKZ283
gene-PHIKZ237,189,194,1777,848.0,80.0,346.0,phage,gene-PHIKZ237
gene-PHIKZ271,54,33,61,38.0,1.0,111.0,phage,gene-PHIKZ271
gene-PHIKZ015,343,351,215,120.0,30.0,130.0,phage,gene-PHIKZ015
gene-PHIKZ_p77,14,14,12,14.0,0.0,16.0,phage,gene-PHIKZ_p77
gene-PHIKZ142,3,3,63,51.0,111.0,346.0,phage,gene-PHIKZ142
gene-PHIKZ055,76,60,944,469.0,98.0,303.0,phage,gene-PHIKZ055
gene-PHIKZ234,23,20,194,109.0,19.0,88.0,phage,gene-PHIKZ234
gene-PHIKZ113,5,8,7,4.0,4.0,23.0,phage,gene-PHIKZ113
gene-PHIKZ_p37,96,106,59,46.0,11.0,40.0,phage,gene-PHIKZ_p37
gene-PHIKZ185,447,317,789,458.0,37.0,166.0,phage,gene-PHIKZ185
gene-PHIKZ107,103,85,41,27.0,8.0,61.0,phage,gene-PHIKZ107
gene-PHIKZ090,17,14,576,328.0,546.0,1241.0,phage,gene-PHIKZ090
gene-PHIKZ092,19,13,489,308.0,380.0,1265.0,phage,gene-PHIKZ092
gene-PHIKZ072,119,119,536,292.0,74.0,276.0,phage,gene-PHIKZ072
gene-PHIKZ108,34,26,9,7.0,8.0,51.0,phage,gene-PHIKZ108
gene-PHIKZ146,61,66,60,34.0,797.0,2232.0,phage,gene-PHIKZ146
gene-PHIKZ_p53,118,147,324,224.0,20.0,104.0,phage,gene-PHIKZ_p53
gene-PHIKZ_p62,1,1,23,28.0,2.0,45.0,phage,gene-PHIKZ_p62
gene-PHIKZ076,12,12,8,5.0,1.0,28.0,phage,gene-PHIKZ076
gene-PHIKZ266,54,46,122,66.0,29.0,171.0,phage,gene-PHIKZ266
gene-PHIKZ279,107,108,136,69.0,9.0,198.0,phage,gene-PHIKZ279
gene-PHIKZ174,25,18,87,40.0,25.0,309.0,phage,gene-PHIKZ174
gene-PHIKZ119,3,2,29,10.0,436.0,922.0,phage,gene-PHIKZ119
gene-PHIKZ039,314,249,1990,1078.0,194.0,596.0,phage,gene-PHIKZ039
gene-PHIKZ_t04,1,2,115,30.0,19.0,32.0,phage,gene-PHIKZ_t04
gene-PHIKZ054,606,585,6110,3619.0,2318.0,4038.0,phage,gene-PHIKZ054
gene-PHIKZ_p16,31,14,166,88.0,100.0,477.0,phage,gene-PHIKZ_p16
gene-PHIKZ_p76,325,209,271,128.0,28.0,126.0,phage,gene-PHIKZ_p76
gene-PHIKZ267,36,43,47,25.0,3.0,57.0,phage,gene-PHIKZ267
gene-PHIKZ_p50,10,7,14,13.0,16.0,78.0,phage,gene-PHIKZ_p50
gene-PHIKZ269,53,55,80,47.0,7.0,78.0,phage,gene-PHIKZ269
gene-PHIKZ233,48,49,232,150.0,25.0,161.0,phage,gene-PHIKZ233
gene-PHIKZ231,18,13,81,30.0,5.0,65.0,phage,gene-PHIKZ231
gene-PHIKZ_p21,128,107,544,240.0,67.0,121.0,phage,gene-PHIKZ_p21
gene-PHIKZ187,104,94,792,492.0,50.0,120.0,phage,gene-PHIKZ187
gene-PHIKZ081,11,16,1072,531.0,284.0,1030.0,phage,gene-PHIKZ081
gene-PHIKZ121,65,47,124,71.0,16.0,97.0,phage,gene-PHIKZ121
gene-PHIKZ270,68,69,69,54.0,13.0,93.0,phage,gene-PHIKZ270
gene-PHIKZ137,10,19,85,40.0,71.0,265.0,phage,gene-PHIKZ137
gene-PHIKZ260,82,77,59,40.0,6.0,64.0,phage,gene-PHIKZ260
gene-PHIKZ083,16,14,60,28.0,76.0,474.0,phage,gene-PHIKZ083
gene-PHIKZ244,41,34,282,136.0,61.0,206.0,phage,gene-PHIKZ244
gene-PHIKZ288,156,131,505,258.0,24.0,165.0,phage,gene-PHIKZ288
gene-PHIKZ165,17,19,1405,810.0,114.0,709.0,phage,gene-PHIKZ165
gene-PHIKZ220,17,9,84,58.0,7.0,72.0,phage,gene-PHIKZ220
gene-PHIKZ170,27,22,50,37.0,5.0,61.0,phage,gene-PHIKZ170
gene-PHIKZ286,142,125,180,123.0,17.0,342.0,phage,gene-PHIKZ286
gene-PHIKZ050,26,29,696,498.0,91.0,697.0,phage,gene-PHIKZ050
gene-PHIKZ152,25,24,1586,795.0,166.0,595.0,phage,gene-PHIKZ152
gene-PHIKZ198,5,3,20,10.0,43.0,173.0,phage,gene-PHIKZ198
gene-PHIKZ_p01,55,48,32,14.0,3.0,16.0,phage,gene-PHIKZ_p01
gene-PHIKZ036,46,49,101,97.0,8.0,146.0,phage,gene-PHIKZ036
gene-PHIKZ147,6,5,287,179.0,68.0,287.0,phage,gene-PHIKZ147
gene-PHIKZ041,33,24,148,96.0,16.0,136.0,phage,gene-PHIKZ041
gene-PHIKZ068,387,347,1713,983.0,113.0,450.0,phage,gene-PHIKZ068
gene-PHIKZ257,86,74,282,207.0,19.0,203.0,phage,gene-PHIKZ257
gene-PHIKZ130,12,14,23,20.0,109.0,367.0,phage,gene-PHIKZ130
gene-PHIKZ_p55,2,5,41,22.0,42.0,137.0,phage,gene-PHIKZ_p55
gene-PHIKZ253,113,107,168,120.0,27.0,155.0,phage,gene-PHIKZ253
gene-PHIKZ_p22,130,107,912,548.0,60.0,199.0,phage,gene-PHIKZ_p22
gene-PHIKZ211,10,10,75,55.0,9.0,77.0,phage,gene-PHIKZ211
gene-PHIKZ080,25,19,206,119.0,179.0,660.0,phage,gene-PHIKZ080
gene-PHIKZ221,8,5,7,4.0,1.0,89.0,phage,gene-PHIKZ221
gene-PHIKZ_p71,25,18,206,115.0,23.0,152.0,phage,gene-PHIKZ_p71
gene-PHIKZ103,70,53,152,85.0,28.0,84.0,phage,gene-PHIKZ103
gene-PHIKZ069,313,285,1697,967.0,104.0,407.0,phage,gene-PHIKZ069
gene-PHIKZ085,6,4,299,168.0,152.0,468.0,phage,gene-PHIKZ085
gene-PHIKZ195,2,5,40,16.0,6.0,56.0,phage,gene-PHIKZ195
gene-PHIKZ028,17,12,143,93.0,225.0,696.0,phage,gene-PHIKZ028
gene-PHIKZ_p86,0,1,9,7.0,1.0,21.0,phage,gene-PHIKZ_p86
gene-PHIKZ_p15,74,65,721,388.0,91.0,324.0,phage,gene-PHIKZ_p15
gene-PHIKZ112,106,123,115,61.0,17.0,50.0,phage,gene-PHIKZ112
gene-PHIKZ_p74,2,2,3,2.0,0.0,25.0,phage,gene-PHIKZ_p74
gene-PHIKZ101,16,16,208,143.0,90.0,544.0,phage,gene-PHIKZ101
gene-PHIKZ139,17,9,373,177.0,263.0,701.0,phage,gene-PHIKZ139
gene-PHIKZ189,149,140,1172,845.0,134.0,304.0,phage,gene-PHIKZ189
gene-PHIKZ294,4,3,312,200.0,37.0,174.0,phage,gene-PHIKZ294
gene-PHIKZ305,17,25,1400,754.0,128.0,426.0,phage,gene-PHIKZ305
gene-PHIKZ303,36,41,569,337.0,365.0,1308.0,phage,gene-PHIKZ303
gene-PHIKZ047,143,100,290,202.0,55.0,220.0,phage,gene-PHIKZ047
gene-PHIKZ150,1,5,168,105.0,18.0,114.0,phage,gene-PHIKZ150
gene-PHIKZ_p49,8,10,197,83.0,93.0,341.0,phage,gene-PHIKZ_p49
gene-PHIKZ274,106,70,245,155.0,27.0,94.0,phage,gene-PHIKZ274
gene-PHIKZ_p02,16,18,6,5.0,1.0,22.0,phage,gene-PHIKZ_p02
gene-PHIKZ017,199,153,142,75.0,15.0,62.0,phage,gene-PHIKZ017
gene-PHIKZ088,20,24,129,51.0,74.0,332.0,phage,gene-PHIKZ088
gene-PHIKZ167,94,99,167,122.0,18.0,115.0,phage,gene-PHIKZ167
gene-PHIKZ004,7,4,93,62.0,15.0,105.0,phage,gene-PHIKZ004
gene-PHIKZ263,82,101,193,88.0,27.0,90.0,phage,gene-PHIKZ263
gene-PHIKZ180,15,12,349,196.0,119.0,454.0,phage,gene-PHIKZ180
gene-PHIKZ_p34,573,479,154,108.0,25.0,111.0,phage,gene-PHIKZ_p34
gene-PHIKZ216,409,346,1412,806.0,178.0,423.0,phage,gene-PHIKZ216
gene-PHIKZ210,56,60,569,269.0,36.0,140.0,phage,gene-PHIKZ210
gene-PHIKZ_p69,3,3,8,6.0,4.0,24.0,phage,gene-PHIKZ_p69
gene-PHIKZ007,98,113,50,34.0,4.0,51.0,phage,gene-PHIKZ007
gene-PHIKZ012,120,85,58,28.0,6.0,43.0,phage,gene-PHIKZ012
gene-PHIKZ297,4,6,93,75.0,16.0,128.0,phage,gene-PHIKZ297
gene-PHIKZ003,4,2,94,81.0,11.0,106.0,phage,gene-PHIKZ003
gene-PHIKZ203,35,41,279,208.0,164.0,750.0,phage,gene-PHIKZ203
gene-PHIKZ_p90,5,3,66,37.0,11.0,35.0,phage,gene-PHIKZ_p90
gene-PHIKZ025,34,23,77,38.0,229.0,864.0,phage,gene-PHIKZ025
gene-PHIKZ298,23,15,191,108.0,133.0,491.0,phage,gene-PHIKZ298
gene-PHIKZ051,49,43,388,288.0,74.0,245.0,phage,gene-PHIKZ051
gene-PHIKZ_p27,7,13,67,64.0,53.0,268.0,phage,gene-PHIKZ_p27
gene-PHIKZ202,10,9,81,48.0,42.0,161.0,phage,gene-PHIKZ202
gene-PHIKZ087,28,30,236,144.0,262.0,1201.0,phage,gene-PHIKZ087
gene-PHIKZ_p60,11,11,59,34.0,8.0,53.0,phage,gene-PHIKZ_p60
gene-PHIKZ_t07,2,5,67,26.0,13.0,42.0,phage,gene-PHIKZ_t07
gene-PHIKZ022,241,205,164,71.0,29.0,105.0,phage,gene-PHIKZ022
gene-PHIKZ_p32,6,5,19,6.0,3.0,27.0,phage,gene-PHIKZ_p32
gene-PHIKZ034,10,7,29,28.0,46.0,299.0,phage,gene-PHIKZ034
gene-PHIKZ156,7,5,28,5.0,19.0,114.0,phage,gene-PHIKZ156
gene-PHIKZ131,65,48,200,102.0,824.0,2435.0,phage,gene-PHIKZ131
gene-PHIKZ_p51,10,16,24,17.0,31.0,246.0,phage,gene-PHIKZ_p51
gene-PHIKZ_t05,3,5,25,29.0,5.0,36.0,phage,gene-PHIKZ_t05
gene-PHIKZ209,106,102,466,235.0,31.0,184.0,phage,gene-PHIKZ209
gene-PHIKZ183,3,4,87,60.0,25.0,112.0,phage,gene-PHIKZ183
gene-PHIKZ301,3,3,76,70.0,10.0,65.0,phage,gene-PHIKZ301
