Geneid,5,15,30
gene-phage515_00114,,,
gene-Saur515_RS05730,,,
gene-Saur515_RS11170,,,
gene-Saur515_RS01200,,,
gene-Saur515_RS03260,,,
gene-Saur515_RS11135,,,
gene-phage515_00175,,,
gene-Saur515_RS11695,,,
gene-Saur515_RS07250,,,
gene-Saur515_RS07415,,,
gene-Saur515_RS05270,,,
gene-Saur515_RS06090,,,
gene-Saur515_RS11655,,,
gene-Saur515_RS04340,,,
gene-Saur515_RS07475,,,
gene-Saur515_RS05465,,,
gene-Saur515_RS08615,,,
gene-Saur515_RS05065,,,
gene-Saur515_RS09150,,,
gene-Saur515_RS08420,,,
gene-Saur515_RS02780,,,
gene-Saur515_RS03580,,,
gene-Saur515_RS00785,,,
gene-Saur515_RS02350,,,
gene-Saur515_RS01415,,,
gene-Saur515_RS04815,,,
gene-Saur515_RS14360,,,
gene-Saur515_RS06545,,,
gene-Saur515_RS03060,,,
gene-Saur515_RS03460,,,
gene-Saur515_RS11005,,,
gene-Saur515_RS01425,,,
gene-Saur515_RS08320,,,
gene-Saur515_RS04520,,,
gene-phage515_00173,,,
gene-Saur515_RS08115,,,
gene-phage515_00223,,,
gene-Saur515_RS08840,,,
gene-Saur515_RS07930,,,
gene-Saur515_RS02110,,,
gene-Saur515_RS11545,,,
gene-Saur515_RS12580,,,
gene-Saur515_RS14170,,,
gene-Saur515_RS12220,,,
gene-Saur515_RS10400,,,
gene-Saur515_RS03055,,,
gene-Saur515_RS10165,,,
gene-Saur515_RS11385,,,
gene-Saur515_RS13220,,,
gene-Saur515_RS09850,,,
gene-Saur515_RS00045,,,
gene-Saur515_RS01785,,,
gene-Saur515_RS12530,,,
gene-Saur515_RS13845,,,
gene-Saur515_RS12645,,,
gene-phage515_00208,,,
gene-Saur515_RS01990,,,
gene-phage515_00180,,,
gene-Saur515_RS08445,,,
gene-Saur515_RS07525,,,
gene-Saur515_RS09205,,,
gene-Saur515_RS03690,,,
gene-Saur515_RS11690,,,
gene-Saur515_RS13395,,,
gene-Saur515_RS06010,,,
gene-Saur515_RS05370,,,
gene-Saur515_RS13400,,,
gene-Saur515_RS12745,,,
gene-phage515_00124,,,
gene-Saur515_RS07220,,,
gene-Saur515_RS12935,,,
gene-Saur515_RS06335,,,
gene-Saur515_RS00320,,,
gene-Saur515_RS10245,,,
gene-Saur515_RS02495,,,
gene-Saur515_RS02130,,,
gene-Saur515_RS03435,,,
gene-Saur515_RS08700,,,
gene-Saur515_RS00715,,,
gene-Saur515_RS02020,,,
gene-phage515_00028,,,
gene-Saur515_RS00765,,,
gene-phage515_00152,,,
gene-Saur515_RS02105,,,
gene-Saur515_RS12165,,,
gene-Saur515_RS08025,,,
gene-Saur515_RS07720,,,
gene-Saur515_RS07555,,,
gene-Saur515_RS05125,,,
gene-Saur515_RS05530,,,
gene-Saur515_RS13005,,,
gene-Saur515_RS02380,,,
gene-Saur515_RS09755,,,
gene-Saur515_RS06560,,,
gene-Saur515_RS01975,,,
gene-Saur515_RS12910,,,
gene-Saur515_RS14315,,,
gene-Saur515_RS11400,,,
gene-Saur515_RS02805,,,
gene-Saur515_RS00450,,,
gene-Saur515_RS10455,,,
gene-Saur515_RS06275,,,
gene-Saur515_RS04255,,,
gene-Saur515_RS11110,,,
gene-Saur515_RS10890,,,
gene-Saur515_RS04000,,,
gene-Saur515_RS06525,,,
gene-Saur515_RS06645,,,
gene-Saur515_RS09795,,,
gene-Saur515_RS05555,,,
gene-Saur515_RS07400,,,
gene-Saur515_RS11900,,,
gene-Saur515_RS12200,,,
gene-Saur515_RS07725,,,
gene-Saur515_RS10490,,,
gene-Saur515_RS12720,,,
gene-Saur515_RS08105,,,
gene-Saur515_RS13635,,,
gene-Saur515_RS06185,,,
gene-Saur515_RS00560,,,
gene-Saur515_RS13670,,,
gene-phage515_00073,,,
gene-Saur515_RS01375,,,
gene-Saur515_RS12255,,,
gene-Saur515_RS01445,,,
gene-Saur515_RS12525,,,
gene-Saur515_RS10725,,,
gene-Saur515_RS07685,,,
gene-Saur515_RS09475,,,
gene-Saur515_RS09435,,,
gene-Saur515_RS08785,,,
gene-Saur515_RS07365,,,
gene-Saur515_RS04350,,,
gene-Saur515_RS14050,,,
gene-Saur515_RS05115,,,
gene-Saur515_RS05015,,,
gene-Saur515_RS13420,,,
gene-Saur515_RS12680,,,
gene-Saur515_RS03030,,,
gene-phage515_00062,,,
gene-Saur515_RS13390,,,
gene-Saur515_RS02030,,,
gene-phage515_00019,,,
gene-Saur515_RS02920,,,
gene-phage515_00204,,,
gene-Saur515_RS08260,,,
gene-Saur515_RS13975,,,
gene-Saur515_RS05375,,,
gene-Saur515_RS05040,,,
gene-Saur515_RS03400,,,
gene-Saur515_RS08495,,,
gene-Saur515_RS04600,,,
gene-Saur515_RS01825,,,
gene-Saur515_RS00410,,,
gene-phage515_00205,,,
gene-phage515_00230,,,
gene-Saur515_RS09060,,,
gene-Saur515_RS09980,,,
gene-Saur515_RS01075,,,
gene-Saur515_RS01620,,,
gene-Saur515_RS06885,,,
gene-Saur515_RS09725,,,
gene-Saur515_RS03875,,,
gene-Saur515_RS04205,,,
gene-phage515_00044,,,
gene-Saur515_RS11265,,,
gene-Saur515_RS08075,,,
gene-Saur515_RS14385,,,
gene-Saur515_RS13215,,,
gene-Saur515_RS09190,,,
gene-Saur515_RS09975,,,
gene-Saur515_RS10730,,,
gene-Saur515_RS07700,,,
gene-Saur515_RS12635,,,
gene-Saur515_RS07560,,,
gene-Saur515_RS00830,,,
gene-phage515_00095,,,
gene-Saur515_RS03760,,,
gene-Saur515_RS01730,,,
gene-Saur515_RS12740,,,
gene-Saur515_RS14245,,,
gene-Saur515_RS10420,,,
gene-Saur515_RS01775,,,
gene-Saur515_RS04170,,,
gene-Saur515_RS02875,,,
gene-Saur515_RS09235,,,
gene-Saur515_RS14225,,,
gene-Saur515_RS09615,,,
gene-Saur515_RS13720,,,
gene-Saur515_RS13510,,,
gene-phage515_00015,,,
gene-Saur515_RS10465,,,
gene-Saur515_RS11465,,,
gene-Saur515_RS05660,,,
gene-Saur515_RS14005,,,
gene-Saur515_RS11710,,,
gene-Saur515_RS06060,,,
gene-Saur515_RS08245,,,
gene-Saur515_RS08540,,,
gene-Saur515_RS05695,,,
gene-Saur515_RS06855,,,
gene-Saur515_RS09905,,,
gene-phage515_00167,,,
gene-Saur515_RS11880,,,
gene-Saur515_RS09730,,,
gene-Saur515_RS04495,,,
gene-Saur515_RS05480,,,
gene-Saur515_RS04890,,,
gene-Saur515_RS13740,,,
gene-phage515_00126,,,
gene-Saur515_RS12235,,,
gene-Saur515_RS02860,,,
gene-Saur515_RS01430,,,
gene-Saur515_RS10430,,,
gene-Saur515_RS02465,,,
gene-Saur515_RS09780,,,
gene-Saur515_RS05880,,,
gene-Saur515_RS09215,,,
gene-Saur515_RS06215,,,
gene-Saur515_RS06030,,,
gene-Saur515_RS08375,,,
gene-Saur515_RS03650,,,
gene-Saur515_RS10315,,,
gene-Saur515_RS06540,,,
gene-phage515_00209,,,
gene-Saur515_RS10945,,,
gene-Saur515_RS06430,,,
gene-Saur515_RS01465,,,
gene-Saur515_RS00380,,,
gene-Saur515_RS06795,,,
gene-phage515_00087,,,
gene-Saur515_RS13225,,,
gene-Saur515_RS02635,,,
gene-Saur515_RS07925,,,
gene-Saur515_RS06770,,,
gene-Saur515_RS11140,,,
gene-Saur515_RS13765,,,
gene-Saur515_RS13980,,,
gene-Saur515_RS06990,,,
gene-Saur515_RS05955,,,
gene-Saur515_RS03115,,,
gene-Saur515_RS08780,,,
gene-Saur515_RS09345,,,
gene-Saur515_RS07840,,,
gene-Saur515_RS13145,,,
gene-Saur515_RS06280,,,
gene-Saur515_RS07000,,,
gene-Saur515_RS06720,,,
gene-phage515_00138,,,
gene-Saur515_RS02890,,,
gene-Saur515_RS00750,,,
gene-Saur515_RS02645,,,
gene-Saur515_RS11500,,,
gene-Saur515_RS00800,,,
gene-Saur515_RS10380,,,
gene-Saur515_RS14115,,,
gene-Saur515_RS00920,,,
gene-Saur515_RS08275,,,
gene-Saur515_RS11860,,,
gene-Saur515_RS01190,,,
gene-Saur515_RS13565,,,
gene-Saur515_RS06675,,,
gene-Saur515_RS09965,,,
gene-Saur515_RS02765,,,
gene-Saur515_RS12845,,,
gene-Saur515_RS09110,,,
gene-Saur515_RS06900,,,
gene-Saur515_RS07125,,,
gene-Saur515_RS11095,,,
gene-Saur515_RS13490,,,
gene-Saur515_RS04445,,,
gene-phage515_00151,,,
gene-Saur515_RS05870,,,
