Geneid,Entity,Symbol,bim-phage-35_R1,bim-phage-35_R2,bim-phage-35_R3,bim-phage-35_R4,bim-phage-35_R5,bim-phage-60_R1,bim-phage-60_R2,bim-phage-60_R3,bim-phage-60_R4,bim-phage-60_R5,bim-phage-120_R1,bim-phage-120_R2,bim-phage-120_R3,bim-phage-120_R4,bim-phage-120_R5
gene-DMS3-27,phage,gene-DMS3-27,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,1.6094379124341003,0.6931471805599453,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.6931471805599453
gene-DMS3-47,phage,gene-DMS3-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.0
gene-DMS3-36,phage,gene-DMS3-36,1.3862943611198906,1.9459101490553132,2.1972245773362196,2.4849066497880004,2.1972245773362196,2.0794415416798357,1.9459101490553132,2.0794415416798357,2.5649493574615367,1.0986122886681098,1.791759469228055,2.5649493574615367,2.302585092994046,1.0986122886681098,0.6931471805599453
gene-DMS3-46,phage,gene-DMS3-46,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453
gene-DMS3-38,phage,gene-DMS3-38,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.3862943611198906,1.791759469228055,1.791759469228055,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,1.0986122886681098,1.791759469228055,0.0,1.9459101490553132,1.0986122886681098
gene-DMS3-29,phage,gene-DMS3-29,0.0,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453
gene-DMS3-13,phage,gene-DMS3-13,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,1.6094379124341003,0.0,1.6094379124341003,1.791759469228055,1.0986122886681098,0.0,1.9459101490553132,1.6094379124341003,2.1972245773362196,1.3862943611198906
gene-DMS3-35,phage,gene-DMS3-35,0.6931471805599453,1.0986122886681098,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,1.6094379124341003,0.6931471805599453,0.0
gene-DMS3-48,phage,gene-DMS3-48,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.3862943611198906,1.6094379124341003,1.9459101490553132,1.791759469228055,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.791759469228055
gene-DMS3-18,phage,gene-DMS3-18,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.9459101490553132,1.3862943611198906,2.0794415416798357,1.9459101490553132,1.6094379124341003,1.791759469228055,2.1972245773362196,1.9459101490553132
gene-DMS3-43,phage,gene-DMS3-43,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.791759469228055,1.9459101490553132,1.3862943611198906,1.791759469228055,1.9459101490553132,1.791759469228055,2.0794415416798357,1.791759469228055,2.4849066497880004,1.3862943611198906,1.791759469228055,1.791759469228055
gene-DMS3-21,phage,V,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.791759469228055,1.3862943611198906,1.791759469228055,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.791759469228055,0.0,1.0986122886681098,1.791759469228055
gene-DMS3-11,phage,gene-DMS3-11,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098,1.6094379124341003,1.9459101490553132,1.791759469228055,2.3978952727983707,2.0794415416798357,2.3978952727983707,2.833213344056216,1.3862943611198906,2.0794415416798357,2.1972245773362196
gene-DMS3-5,phage,gene-DMS3-5,1.9459101490553132,2.6390573296152584,2.1972245773362196,1.791759469228055,2.8903717578961645,3.1354942159291497,2.3978952727983707,2.70805020110221,3.332204510175204,2.5649493574615367,2.995732273553991,3.4339872044851463,2.6390573296152584,3.044522437723423,2.4849066497880004
gene-DMS3-26,phage,gene-DMS3-26,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.9459101490553132,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.0986122886681098,0.0,1.0986122886681098,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453
gene-DMS3-19,phage,gene-DMS3-19,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.6094379124341003
gene-DMS3-7,phage,gene-DMS3-7,1.0986122886681098,1.791759469228055,1.6094379124341003,0.0,2.0794415416798357,2.8903717578961645,2.0794415416798357,2.5649493574615367,2.70805020110221,2.0794415416798357,2.1972245773362196,2.995732273553991,2.5649493574615367,2.772588722239781,2.0794415416798357
gene-DMS3-30,phage,gene-DMS3-30,8.005700678662542,8.014004994779459,8.247220052745229,7.947325027016463,8.285008895449879,7.9603236291488395,7.867871490396322,7.937374696163295,7.736743682453495,7.848153086199526,7.736743682453495,7.870165946469845,7.199678345691172,7.273786317844895,7.388327859577107
gene-DMS3-33,phage,gene-DMS3-33,2.9444389791664403,3.2188758248682006,3.4011973816621555,3.5553480614894135,4.07753744390572,4.110873864173311,3.713572066704308,3.367295829986474,3.4339872044851463,3.332204510175204,3.6635616461296463,3.8918202981106265,3.5263605246161616,3.044522437723423,3.295836866004329
gene-DMS3-20,phage,gene-DMS3-20,1.0986122886681098,0.0,0.0,0.6931471805599453,1.3862943611198906,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,0.0,1.6094379124341003,0.0,1.0986122886681098,0.6931471805599453
gene-DMS3-17,phage,gene-DMS3-17,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,2.0794415416798357,0.0,1.9459101490553132,1.0986122886681098,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.791759469228055,1.0986122886681098
gene-DMS3-25,phage,gene-DMS3-25,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.3862943611198906,1.6094379124341003,1.791759469228055,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.791759469228055,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.9459101490553132,1.3862943611198906
gene-DMS3-1,phage,gene-DMS3-1,0.6931471805599453,0.6931471805599453,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.6094379124341003,1.3862943611198906
gene-DMS3-40,phage,gene-DMS3-40,0.0,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.9459101490553132,1.791759469228055,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.6094379124341003,1.791759469228055,0.0,1.0986122886681098,0.6931471805599453
gene-DMS3-12,phage,gene-DMS3-12,0.0,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,1.791759469228055
gene-DMS3-22,phage,gene-DMS3-22,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.791759469228055,1.3862943611198906,0.0,1.6094379124341003,1.0986122886681098,1.3862943611198906
gene-DMS3-16,phage,gene-DMS3-16,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.6094379124341003,0.6931471805599453
gene-DMS3-24,phage,gene-DMS3-24,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,1.6094379124341003,0.0,1.3862943611198906,1.3862943611198906
gene-DMS3-10,phage,gene-DMS3-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.9459101490553132,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,1.3862943611198906,1.3862943611198906
