Geneid,Entity,Symbol,bim-phage-35_R1,bim-phage-35_R2,bim-phage-35_R3,bim-phage-35_R4,bim-phage-35_R5,bim-phage-60_R1,bim-phage-60_R2,bim-phage-60_R3,bim-phage-60_R4,bim-phage-60_R5,bim-phage-120_R1,bim-phage-120_R2,bim-phage-120_R3,bim-phage-120_R4,bim-phage-120_R5,Temporal_Class
gene-DMS3-27,phage,gene-DMS3-27,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,1.6094379124341003,0.6931471805599453,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.6931471805599453,early
gene-DMS3-47,phage,gene-DMS3-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,0.6931471805599453,0.0,0.0,middle
gene-DMS3-36,phage,gene-DMS3-36,1.3862943611198906,1.9459101490553132,2.1972245773362196,2.4849066497880004,2.1972245773362196,2.0794415416798357,1.9459101490553132,2.0794415416798357,2.5649493574615367,1.0986122886681098,1.791759469228055,2.5649493574615367,2.302585092994046,1.0986122886681098,0.6931471805599453,middle
gene-DMS3-46,phage,gene-DMS3-46,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,late
gene-DMS3-38,phage,gene-DMS3-38,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.3862943611198906,1.791759469228055,1.791759469228055,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,1.0986122886681098,1.791759469228055,0.0,1.9459101490553132,1.0986122886681098,late
gene-DMS3-29,phage,gene-DMS3-29,0.0,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,early
gene-DMS3-13,phage,gene-DMS3-13,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,1.6094379124341003,0.0,1.6094379124341003,1.791759469228055,1.0986122886681098,0.0,1.9459101490553132,1.6094379124341003,2.1972245773362196,1.3862943611198906,late
gene-DMS3-35,phage,gene-DMS3-35,0.6931471805599453,1.0986122886681098,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,0.0,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,1.6094379124341003,0.6931471805599453,0.0,late
gene-DMS3-48,phage,gene-DMS3-48,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.3862943611198906,1.6094379124341003,1.9459101490553132,1.791759469228055,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.0986122886681098,1.0986122886681098,1.791759469228055,middle
gene-DMS3-18,phage,gene-DMS3-18,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,1.3862943611198906,1.9459101490553132,1.3862943611198906,2.0794415416798357,1.9459101490553132,1.6094379124341003,1.791759469228055,2.1972245773362196,1.9459101490553132,late
gene-DMS3-43,phage,gene-DMS3-43,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.791759469228055,1.9459101490553132,1.3862943611198906,1.791759469228055,1.9459101490553132,1.791759469228055,2.0794415416798357,1.791759469228055,2.4849066497880004,1.3862943611198906,1.791759469228055,1.791759469228055,late
gene-DMS3-21,phage,V,0.0,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.791759469228055,1.3862943611198906,1.791759469228055,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.791759469228055,0.0,1.0986122886681098,1.791759469228055,early
gene-DMS3-11,phage,gene-DMS3-11,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098,1.6094379124341003,1.9459101490553132,1.791759469228055,2.3978952727983707,2.0794415416798357,2.3978952727983707,2.833213344056216,1.3862943611198906,2.0794415416798357,2.1972245773362196,late
gene-DMS3-5,phage,gene-DMS3-5,1.9459101490553132,2.6390573296152584,2.1972245773362196,1.791759469228055,2.8903717578961645,3.1354942159291497,2.3978952727983707,2.70805020110221,3.332204510175204,2.5649493574615367,2.995732273553991,3.4339872044851463,2.6390573296152584,3.044522437723423,2.4849066497880004,late
gene-DMS3-26,phage,gene-DMS3-26,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.9459101490553132,0.6931471805599453,1.0986122886681098,1.6094379124341003,1.0986122886681098,0.0,1.0986122886681098,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,early
gene-DMS3-19,phage,gene-DMS3-19,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.0986122886681098,1.6094379124341003,middle
gene-DMS3-7,phage,gene-DMS3-7,1.0986122886681098,1.791759469228055,1.6094379124341003,0.0,2.0794415416798357,2.8903717578961645,2.0794415416798357,2.5649493574615367,2.70805020110221,2.0794415416798357,2.1972245773362196,2.995732273553991,2.5649493574615367,2.772588722239781,2.0794415416798357,late
gene-DMS3-30,phage,gene-DMS3-30,,,,,,,,,,,,,,,,early
