Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp021,0,0,0,17.0,0.0,5.0,408.0,50.0,286.0,2734.0,630.0,1918.0,3855.0,1933.0,1660.0,1008.0,923.0,1299.0,558.0,467.0,676.0,phage,gene-CPT_phageK_gp021
gene-CPT_phageK_gp030,0,0,0,17.0,1.0,1.0,133.0,11.0,56.0,2224.0,291.0,2251.0,6383.0,3349.0,4083.0,2399.0,2599.0,2613.0,1356.0,1612.0,724.0,phage,gene-CPT_phageK_gp030
gene-CPT_phageK_gp084,0,0,0,9.0,1.0,0.0,181.0,24.0,98.0,3253.0,577.0,3597.0,8739.0,5595.0,5758.0,2262.0,2815.0,2424.0,1119.0,1130.0,1087.0,phage,gene-CPT_phageK_gp084
gene-CPT_phageK_gp181,0,0,0,25.0,0.0,0.0,3.0,2.0,1.0,135.0,15.0,118.0,850.0,290.0,609.0,1852.0,1848.0,2884.0,2449.0,2275.0,1090.0,phage,gene-CPT_phageK_gp181
gene-CPT_phageK_gp083,0,1,0,22.0,0.0,1.0,197.0,33.0,100.0,4624.0,698.0,5734.0,15488.0,9781.0,11516.0,5286.0,5979.0,5217.0,2141.0,2531.0,1991.0,phage,gene-CPT_phageK_gp083
gene-CPT_phageK_gp060,1,0,1,1.0,1.0,0.0,99.0,6.0,50.0,1139.0,228.0,960.0,1744.0,1226.0,903.0,219.0,363.0,292.0,96.0,123.0,109.0,phage,gene-CPT_phageK_gp060
gene-CPT_phageK_gp225,1,2,0,123.0,1.0,1.0,108.0,17.0,31.0,3569.0,414.0,4520.0,15558.0,7731.0,9711.0,11453.0,10997.0,12658.0,10203.0,8822.0,4023.0,phage,gene-CPT_phageK_gp225
gene-CPT_phageK_gt002,0,0,0,93.0,0.0,0.0,9.0,0.0,7.0,175.0,32.0,269.0,1124.0,695.0,1085.0,7886.0,2574.0,5099.0,7895.0,3516.0,2510.0,phage,tRNA-Trp
gene-CPT_phageK_gp111,1,2,0,197.0,3.0,6.0,319.0,45.0,121.0,6843.0,968.0,10840.0,26580.0,17291.0,22222.0,18774.0,19214.0,22306.0,14872.0,13218.0,8762.0,phage,gene-CPT_phageK_gp111
gene-CPT_phageK_gp142,0,0,0,146.0,2.0,2.0,148.0,22.0,48.0,2710.0,480.0,3703.0,12382.0,6716.0,10286.0,10382.0,10444.0,16010.0,12538.0,13109.0,8143.0,phage,gene-CPT_phageK_gp142
gene-CPT_phageK_gp211,1,1,0,56.0,0.0,0.0,21.0,2.0,5.0,710.0,105.0,1186.0,3381.0,2462.0,3034.0,3892.0,3688.0,4595.0,5827.0,3521.0,2944.0,phage,gene-CPT_phageK_gp211
gene-CPT_phageK_gp066,1,5,1,8.0,0.0,0.0,83.0,6.0,29.0,1450.0,181.0,1409.0,3469.0,2410.0,2010.0,739.0,1065.0,766.0,379.0,363.0,323.0,phage,gene-CPT_phageK_gp066
gene-CPT_phageK_gp144,0,0,0,244.0,4.0,3.0,129.0,17.0,65.0,1521.0,310.0,2596.0,9684.0,7759.0,10477.0,16915.0,14801.0,22850.0,21511.0,23308.0,17465.0,phage,gene-CPT_phageK_gp144
gene-CPT_phageK_gp224,1,1,0,85.0,0.0,1.0,160.0,16.0,54.0,3804.0,472.0,4360.0,14638.0,7598.0,9451.0,8673.0,9097.0,10278.0,6514.0,6956.0,3177.0,phage,gene-CPT_phageK_gp224
gene-CPT_phageK_gp229,0,0,0,3.0,0.0,1.0,66.0,6.0,34.0,1257.0,152.0,1252.0,2815.0,1662.0,1670.0,801.0,1049.0,838.0,433.0,486.0,290.0,phage,gene-CPT_phageK_gp229
gene-CPT_phageK_gp185,0,0,0,31.0,1.0,1.0,7.0,0.0,2.0,50.0,10.0,44.0,336.0,160.0,393.0,2537.0,2017.0,5042.0,4329.0,4471.0,3107.0,phage,gene-CPT_phageK_gp185
gene-CPT_phageK_gp063,0,0,0,3.0,0.0,0.0,89.0,6.0,39.0,944.0,131.0,772.0,1598.0,882.0,887.0,219.0,295.0,196.0,86.0,82.0,80.0,phage,gene-CPT_phageK_gp063
gene-CPT_phageK_gp204,0,2,0,38.0,0.0,0.0,105.0,13.0,34.0,2225.0,288.0,2510.0,9312.0,4769.0,6550.0,4672.0,5753.0,6563.0,3041.0,3640.0,1902.0,phage,gene-CPT_phageK_gp204
gene-CPT_phageK_gp128,0,0,0,110.0,0.0,1.0,10.0,9.0,1.0,647.0,86.0,1310.0,5056.0,3602.0,5091.0,8398.0,7593.0,9618.0,11255.0,9006.0,5250.0,phage,gene-CPT_phageK_gp128
gene-CPT_phageK_gp193,0,0,0,122.0,2.0,1.0,1.0,1.0,1.0,28.0,18.0,69.0,222.0,224.0,238.0,2585.0,1547.0,10478.0,12641.0,9405.0,23347.0,phage,gene-CPT_phageK_gp193
