Geneid,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-phage515_00063,1624,1854,1534,4780.0,5624.0,7063.0,8744.0,6921.0,4375.0,phage,gene-phage515_00063
gene-phage515_00226,9503,11069,11561,3514.0,3547.0,5771.0,5254.0,4379.0,2606.0,phage,gene-phage515_00226
gene-phage515_00120,6710,7364,6405,19946.0,20961.0,29399.0,38829.0,18719.0,19470.0,phage,tmpF
gene-phage515_00176A,2786,3001,2555,5918.0,6059.0,8742.0,7678.0,7152.0,4315.0,phage,gene-phage515_00176A
gene-phage515_00153,886,935,814,6858.0,8337.0,10167.0,13258.0,6341.0,7012.0,phage,rec.1
gene-phage515_00210,1483,1670,1387,1133.0,1006.0,1515.0,780.0,565.0,395.0,phage,gene-phage515_00210
gene-phage515_00136,3967,4570,3758,22786.0,25956.0,35837.0,52471.0,36875.0,28608.0,phage,gene-phage515_00136
gene-phage515_00222,1256,1418,1228,3361.0,2954.0,4331.0,2199.0,2111.0,1270.0,phage,gene-phage515_00222
gene-phage515_00006,1318,1515,1339,3013.0,2553.0,3880.0,1847.0,1811.0,1101.0,phage,gene-phage515_00006
gene-phage515_00233,5604,6509,6073,1717.0,1648.0,2732.0,2675.0,1805.0,1340.0,phage,gene-phage515_00233
gene-phage515_00004,1789,2104,1919,2677.0,2365.0,3570.0,1768.0,1843.0,1082.0,phage,gene-phage515_00004
gene-phage515_00099,414,394,395,1395.0,1777.0,2380.0,23790.0,8239.0,10746.0,phage,gene-phage515_00099
gene-phage515_00170,1038,1165,973,5864.0,6646.0,8713.0,11502.0,5331.0,5621.0,phage,gene-phage515_00170
gene-phage515_00189,3205,3557,2999,14725.0,12333.0,21362.0,16029.0,15137.0,8906.0,phage,gene-phage515_00189
gene-phage515_00218,1980,2166,2108,2138.0,1850.0,2764.0,1461.0,1498.0,790.0,phage,gene-phage515_00218
gene-phage515_00229,1482,1521,1762,469.0,394.0,744.0,521.0,419.0,313.0,phage,gene-phage515_00229
