Geneid,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-phage515_00093,185,192,196,544.0,696.0,1028.0,8134.0,4501.0,4268.0,phage,gene-phage515_00093
gene-phage515_00014,1847,2006,2253,612.0,516.0,969.0,730.0,573.0,374.0,phage,gene-phage515_00014
gene-phage515_00134,2462,2501,2341,12646.0,13775.0,17753.0,15353.0,8057.0,8862.0,phage,pri
gene-phage515_00071,1531,1899,1535,3846.0,3842.0,6060.0,21308.0,9048.0,9223.0,phage,lysK.1
gene-phage515_00090,933,1156,957,7465.0,9810.0,12666.0,46255.0,28933.0,24152.0,phage,gene-phage515_00090
gene-phage515_00082A,68,46,72,747.0,939.0,1417.0,7799.0,5259.0,3908.0,phage,mbpW
gene-phage515_00122,8494,9781,7707,54838.0,64771.0,84902.0,172713.0,66672.0,78091.0,phage,tmpG
gene-phage515_00115,2107,2475,2059,7058.0,7758.0,10202.0,16639.0,8571.0,7564.0,phage,gene-phage515_00115
gene-phage515_00217,1135,1180,1110,1352.0,1063.0,1727.0,1119.0,1077.0,604.0,phage,treB
gene-phage515_00174,560,667,502,2142.0,2289.0,3341.0,5388.0,4135.0,2684.0,phage,mbpH
gene-phage515_00198,3992,4816,4062,13169.0,12535.0,19059.0,21617.0,14412.0,11014.0,phage,gene-phage515_00198
gene-phage515_00146,4208,4815,4571,11940.0,7395.0,16764.0,16958.0,13052.0,8353.0,phage,I-KsaII
gene-phage515_00083,130,149,149,1559.0,2215.0,3035.0,16604.0,10458.0,9093.0,phage,mbpD
gene-phage515_00211,1059,1274,1044,950.0,806.0,1177.0,557.0,479.0,272.0,phage,gene-phage515_00211
gene-phage515_00158,94,83,96,460.0,653.0,750.0,21130.0,6470.0,6916.0,phage,gene-phage515_00158
gene-phage515_00054,585,668,486,2727.0,3089.0,4517.0,9858.0,6164.0,4293.0,phage,gene-phage515_00054
gene-phage515_00012,703,741,732,265.0,259.0,397.0,325.0,271.0,182.0,phage,gene-phage515_00012
gene-phage515_00049,2170,2381,1999,10848.0,12876.0,17134.0,38064.0,30990.0,19558.0,phage,gene-phage515_00049
gene-phage515_00084,144,149,142,1356.0,1967.0,2806.0,16481.0,9694.0,9439.0,phage,gene-phage515_00084
gene-phage515_00232,14133,16376,15159,3612.0,3725.0,5875.0,6315.0,4380.0,3031.0,phage,gene-phage515_00232
gene-phage515_00018,6054,6738,6445,1918.0,1732.0,2874.0,2839.0,2180.0,1437.0,phage,gene-phage515_00018
gene-phage515_00234,6805,7673,7756,2417.0,2177.0,3742.0,3172.0,2685.0,1746.0,phage,gene-phage515_00234
gene-phage515_00011,9432,10987,11210,3471.0,3594.0,5812.0,5086.0,4187.0,2491.0,phage,gene-phage515_00011
gene-phage515_00072,1985,2304,2100,3988.0,3769.0,6145.0,17872.0,9923.0,7593.0,phage,ksaI
gene-phage515_00142,386,398,292,4579.0,5868.0,8420.0,23279.0,12095.0,10422.0,phage,tio
gene-phage515_00043,5742,6532,5406,22848.0,24430.0,34629.0,50162.0,41299.0,24725.0,phage,gene-phage515_00043
gene-phage515_00096,277,304,267,5486.0,9014.0,11052.0,233085.0,67800.0,95307.0,phage,gene-phage515_00096
gene-phage515_00048,1042,1173,958,5578.0,6552.0,8865.0,20886.0,15673.0,10559.0,phage,gene-phage515_00048
gene-phage515_00078,94,152,96,327.0,319.0,420.0,1945.0,811.0,747.0,phage,gene-phage515_00078
gene-phage515_00106,802,1008,1037,436.0,455.0,731.0,551.0,677.0,370.0,phage,gene-phage515_00106
gene-phage515_00145,5524,5994,5444,11416.0,11228.0,16365.0,11678.0,8436.0,5870.0,phage,polA.1
gene-phage515_00212,1019,1198,1076,1000.0,799.0,1293.0,582.0,574.0,325.0,phage,gene-phage515_00212
gene-phage515_00035,2050,2371,2062,6707.0,6853.0,9509.0,7348.0,7301.0,4346.0,phage,gene-phage515_00035
gene-phage515_00086,162,178,189,1102.0,1570.0,2202.0,20357.0,10990.0,10435.0,phage,ter.1
gene-phage515_00029,1836,2045,1616,5041.0,5420.0,7222.0,6382.0,4676.0,3593.0,phage,gene-phage515_00029
gene-phage515_00178,9284,10538,8940,22362.0,23153.0,34825.0,37446.0,28285.0,17045.0,phage,mbpJ
gene-phage515_00065,3782,4131,3694,8415.0,9193.0,12649.0,15342.0,11736.0,8283.0,phage,gene-phage515_00065
gene-phage515_00027,1672,1758,1532,7092.0,7710.0,10075.0,8748.0,6554.0,5094.0,phage,gene-phage515_00027
gene-phage515_00007,1157,1370,1189,3122.0,2908.0,4105.0,2141.0,2022.0,1224.0,phage,gene-phage515_00007
gene-phage515_00060,5071,5653,4524,20202.0,23562.0,31049.0,56676.0,39182.0,26341.0,phage,phr
gene-phage515_00207,2455,2757,2330,3565.0,3083.0,4782.0,2877.0,2477.0,1624.0,phage,gene-phage515_00207
gene-phage515_00189A,2460,2728,2252,10529.0,8936.0,15574.0,11343.0,10758.0,6263.0,phage,gene-phage515_00189A
gene-phage515_00098,131,117,121,423.0,462.0,648.0,7045.0,2423.0,3272.0,phage,gene-phage515_00098
gene-phage515_00032,344,391,275,1293.0,1538.0,2157.0,13755.0,8121.0,6032.0,phage,gene-phage515_00032
gene-phage515_00202,1982,2184,1921,3423.0,3207.0,4489.0,2887.0,2645.0,1726.0,phage,gene-phage515_00202
gene-phage515_00199,1433,1683,1506,2712.0,2646.0,3659.0,3059.0,2672.0,1646.0,phage,mbpN
gene-phage515_00097,354,463,373,4765.0,8257.0,9778.0,561234.0,143424.0,180632.0,phage,mcp
gene-phage515_00220,1835,2071,1825,3032.0,2767.0,4007.0,2193.0,2024.0,1150.0,phage,gene-phage515_00220
gene-phage515_00042,4098,4802,3869,18679.0,19378.0,29167.0,45694.0,37271.0,22647.0,phage,gene-phage515_00042
gene-phage515_00089A,345,379,328,2689.0,3256.0,4338.0,13203.0,9334.0,7580.0,phage,gene-phage515_00089A
gene-phage515_00119,2591,2725,2574,5147.0,5379.0,7778.0,12332.0,6347.0,5813.0,phage,bmpB
gene-phage515_00137,3237,3619,3006,19004.0,21787.0,29720.0,38278.0,25930.0,21303.0,phage,gene-phage515_00137
gene-phage515_00117,1689,1796,1735,1868.0,1799.0,2841.0,7311.0,3738.0,3103.0,phage,gene-phage515_00117
gene-phage515_00059,662,689,662,1563.0,1668.0,2270.0,2276.0,2126.0,1335.0,phage,mbpU
gene-phage515_00113,3516,4052,3702,4883.0,5104.0,6826.0,14966.0,6431.0,6988.0,phage,tmpD
gene-phage515_00057,3334,3574,3041,11051.0,12495.0,16816.0,23726.0,19060.0,12020.0,phage,gene-phage515_00057
gene-phage515_00055,920,979,738,4430.0,4766.0,7105.0,14231.0,10904.0,6653.0,phage,gene-phage515_00055
gene-phage515_00100,492,499,463,1438.0,1922.0,2550.0,23908.0,9094.0,11000.0,phage,gene-phage515_00100
gene-phage515_00023,1333,1303,1090,8903.0,9924.0,13494.0,11374.0,6433.0,6492.0,phage,gene-phage515_00023
gene-phage515_00129,8810,10262,8773,22469.0,24681.0,34222.0,41715.0,23180.0,21082.0,phage,dhlB
gene-phage515_00088,1318,1562,1319,3249.0,4050.0,5483.0,46452.0,17536.0,22715.0,phage,ter.2
gene-phage515_00123,210,217,189,2470.0,2721.0,3508.0,4572.0,1606.0,2368.0,phage,gene-phage515_00123
gene-phage515_00143,1570,1607,1585,2742.0,2459.0,4392.0,20261.0,16697.0,9844.0,phage,gene-phage515_00143
gene-phage515_00227,1164,1292,1341,481.0,514.0,703.0,637.0,553.0,369.0,phage,gene-phage515_00227
gene-phage515_00020,395,405,266,4660.0,4970.0,7443.0,9201.0,5862.0,5005.0,phage,gene-phage515_00020
gene-phage515_00192,4473,5021,4031,19426.0,21066.0,28185.0,25181.0,23167.0,14524.0,phage,mbpL
gene-phage515_00050,5124,5520,4876,24602.0,26078.0,40903.0,93671.0,86608.0,49563.0,phage,hmzG
gene-phage515_00135,2766,3134,2704,13532.0,15141.0,20645.0,27321.0,18962.0,15214.0,phage,gene-phage515_00135
gene-phage515_00121,2763,3107,2775,10959.0,12038.0,16150.0,24610.0,11589.0,12623.0,phage,bmpC
gene-phage515_00003,2005,2244,2059,2146.0,1831.0,2826.0,1470.0,1592.0,851.0,phage,gene-phage515_00003
gene-phage515_00225,2716,3000,3191,849.0,832.0,1461.0,1385.0,1255.0,636.0,phage,gene-phage515_00225
gene-phage515_00009,1279,1253,1709,560.0,484.0,839.0,628.0,786.0,473.0,phage,gene-phage515_00009
gene-phage515_00196,4489,5208,4594,10337.0,10067.0,15040.0,14424.0,9332.0,7308.0,phage,gene-phage515_00196
gene-phage515_00064,4231,4649,3999,10605.0,12055.0,15924.0,20550.0,16970.0,11134.0,phage,gene-phage515_00064
gene-phage515_00195,2190,2492,2240,4276.0,4111.0,6208.0,5734.0,3987.0,2951.0,phage,mbpZ
gene-phage515_00022,801,846,629,6352.0,7129.0,9078.0,9828.0,5021.0,5245.0,phage,gene-phage515_00022
gene-phage515_00216,1318,1469,1482,1645.0,1190.0,2044.0,1238.0,1379.0,702.0,phage,gene-phage515_00216
gene-phage515_00161,2080,2189,2007,6634.0,6938.0,9824.0,8029.0,6607.0,4167.0,phage,gene-phage515_00161
gene-phage515_00191,3576,4072,3392,12197.0,13477.0,17409.0,12212.0,11762.0,7839.0,phage,gene-phage515_00191
gene-phage515_00150,2871,3168,2663,10973.0,11913.0,15633.0,13145.0,7556.0,7653.0,phage,gene-phage515_00150
gene-phage515_00174A,63,108,52,245.0,299.0,401.0,836.0,330.0,335.0,phage,gene-phage515_00174A
gene-phage515_00221,1272,1449,1287,2732.0,2420.0,3458.0,1633.0,1714.0,911.0,phage,gene-phage515_00221
gene-phage515_00005,1645,1921,1721,2857.0,2606.0,3709.0,2140.0,1823.0,1054.0,phage,gene-phage515_00005
gene-phage515_00101,338,357,316,977.0,1206.0,1602.0,15362.0,5674.0,7371.0,phage,gene-phage515_00101
gene-phage515_00166,1181,1138,1063,4207.0,4373.0,6195.0,5549.0,3243.0,2808.0,phage,gene-phage515_00166
gene-phage515_00089,2000,2230,2023,15587.0,14183.0,27530.0,92429.0,61983.0,47185.0,phage,gene-phage515_00089
gene-phage515_00164,1473,1582,1239,8543.0,9214.0,12948.0,21558.0,16532.0,10431.0,phage,mbpG
gene-phage515_00085,262,245,258,1834.0,2573.0,3585.0,28768.0,15683.0,15449.0,phage,gene-phage515_00085
gene-phage515_00053,13351,15114,12661,29911.0,32674.0,43402.0,40273.0,33422.0,22464.0,phage,gene-phage515_00053
gene-phage515_00040,37,42,34,133.0,131.0,174.0,916.0,540.0,484.0,phage,gene-phage515_00040
gene-phage515_00139,3736,4219,3262,24048.0,29342.0,37312.0,60248.0,24512.0,26483.0,phage,gene-phage515_00139_gene_nrdE
gene-phage515_00041,127,145,130,487.0,499.0,774.0,2607.0,2109.0,1560.0,phage,gene-phage515_00041
gene-phage515_00118,2243,2464,2283,2893.0,3014.0,4218.0,9455.0,4199.0,4038.0,phage,bmpA
gene-phage515_00162,4168,4443,3921,14326.0,15483.0,20610.0,21007.0,15706.0,10388.0,phage,gene-phage515_00162
gene-phage515_00182,2890,3068,2810,3828.0,3658.0,5218.0,3323.0,2792.0,1879.0,phage,mbpK
gene-phage515_00002,1243,1278,1212,1475.0,1166.0,1971.0,1229.0,1299.0,671.0,phage,gene-phage515_00002_gene_treB
gene-phage515_00061,6140,6907,5822,19831.0,23347.0,30142.0,43065.0,32226.0,22794.0,phage,gene-phage515_00061
gene-phage515_00224,1307,1274,1670,595.0,461.0,888.0,618.0,768.0,460.0,phage,gene-phage515_00224
