,5-Fold Mean Accuracy,5-Fold Mean F1,5-Fold Mean Precision,5-Fold Mean Recall,Stratified K-Fold Mean Accuracy,Stratified K-Fold Mean F1,Stratified K-Fold Mean Precision,Stratified K-Fold Mean Recall,Holdout Accuracy,Holdout F1,Holdout Precision,Holdout Recall,Leave-One-Phage-Out Mean Accuracy,Leave-One-Phage-Out Mean F1,Leave-One-Phage-Out Mean Precision,Leave-One-Phage-Out Mean Recall
Random Forest,0.4831032258064516,0.43940311356574113,0.4872408035962681,0.45406002693305425,0.5943775100401606,0.5608051997510544,0.5715507041172478,0.5702533961929521,0.6586345381526104,0.6340970798173439,0.6414682539682539,0.6371862315908228,0.32536839461523004,0.1990796433504742,0.32731315500258357,0.3280319323099903
SVM,0.4612516129032259,0.2876059092757404,0.29449299246996125,0.38636736808544553,0.5100401606425702,0.3575918627653911,0.37375092494391693,0.4351192043341632,0.5100401606425703,0.36139522685549436,0.3797686053783615,0.43655348318189063,0.28115831557559134,0.1648222207943369,0.18163624358403122,0.33083812981620014
XGBoost,0.4733096774193548,0.4388658072213082,0.4764908838253737,0.4440613402817492,0.6120481927710844,0.586293191536731,0.5887690072760137,0.589099150043589,0.642570281124498,0.6232179805979867,0.6267368689073184,0.6219904597236018,0.330174219013094,0.19635744174509862,0.3169442373803399,0.31553339098227184
