Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b0939,host,elfD,3.6888794541139363,1.3862943611198906,3.8501476017100584,1.791759469228055,3.2188758248682006,1.0986122886681098,2.8903717578961645,0.6931471805599453,3.258096538021482,0.6931471805599453,4.23410650459726,0.0
gene-b0322,host,yahH,4.5217885770490405,2.70805020110221,4.1588830833596715,1.791759469228055,3.044522437723423,1.9459101490553132,3.1354942159291497,1.3862943611198906,2.9444389791664403,0.0,3.784189633918261,0.0
gene-b4554,host,yibT,5.645446897643238,5.5093883366279774,4.890349128221754,4.330733340286331,3.7376696182833684,3.367295829986474,3.4339872044851463,2.3978952727983707,3.258096538021482,2.0794415416798357,3.912023005428146,2.772588722239781
gene-b1184,host,umuC,4.653960350157523,3.258096538021482,4.394449154672439,3.4657359027997265,3.9318256327243257,3.091042453358316,3.713572066704308,1.791759469228055,3.9512437185814275,2.0794415416798357,4.919980925828125,1.3862943611198906
gene-b1850,host,eda,6.20455776256869,6.234410725718371,6.4457198193855785,6.16541785423142,5.5909869805108565,5.605802066295998,5.153291594497779,4.406719247264253,5.10594547390058,3.713572066704308,5.225746673713202,4.110873864173311
gene-b0588,host,fepC,6.35088571671474,4.574710978503383,6.661854740545311,5.7899601708972535,4.727387818712341,4.23410650459726,4.127134385045092,2.833213344056216,4.31748811353631,2.3978952727983707,4.867534450455582,2.4849066497880004
gene-T4p273,phage,ndd.4,1.791759469228055,0.0,9.01371703047137,7.083387847625295,,7.615298339825815,,7.108244139731541,,5.493061443340548,,5.231108616854587
gene-b1711,host,btuC,6.257667587882639,4.394449154672439,5.6131281063880705,5.075173815233827,4.3694478524670215,4.110873864173311,4.110873864173311,3.2188758248682006,4.382026634673881,2.302585092994046,4.941642422609304,2.772588722239781
gene-b1234,host,rssA,6.849066282633458,5.429345628954441,6.747586526829315,6.184148890937483,4.859812404361672,4.919980925828125,4.248495242049359,3.6375861597263857,4.31748811353631,2.8903717578961645,4.727387818712341,2.772588722239781
gene-b1827,host,kdgR,6.0330862217988015,5.950642552587727,5.147494476813453,5.402677381872279,4.110873864173311,4.51085950651685,3.9318256327243257,3.4965075614664802,3.871201010907891,3.2188758248682006,4.406719247264253,3.4657359027997265
gene-b3227,host,dcuD,5.288267030694535,3.2188758248682006,5.0369526024136295,3.4011973816621555,4.584967478670572,3.044522437723423,4.553876891600541,1.9459101490553132,4.532599493153256,2.0794415416798357,5.676753802268282,2.0794415416798357
gene-b4391,host,ettA,8.928640371201949,7.496652438168283,8.912069097970134,7.62608275807238,7.221105098182496,7.026426808699636,6.182084906716632,5.752572638825633,6.517671272912275,5.25227342804663,6.186208623900494,5.272999558563747
gene-b4753,host,yqfH,2.0794415416798357,1.6094379124341003,2.0794415416798357,1.0986122886681098,2.8903717578961645,1.0986122886681098,2.302585092994046,1.0986122886681098,1.9459101490553132,0.0,,0.0
gene-b1567,host,ydfW,3.1354942159291497,1.0986122886681098,2.3978952727983707,0.6931471805599453,2.6390573296152584,1.0986122886681098,2.70805020110221,1.0986122886681098,1.791759469228055,0.0,3.091042453358316,0.0
gene-b4536,host,yobH,6.490723534502507,4.574710978503383,5.5093883366279774,3.8918202981106265,3.871201010907891,2.833213344056216,3.091042453358316,1.3862943611198906,2.8903717578961645,1.6094379124341003,3.367295829986474,1.6094379124341003
gene-b0549,host,ybcO,3.044522437723423,0.0,3.091042453358316,0.0,2.9444389791664403,0.6931471805599453,3.1354942159291497,0.0,3.5263605246161616,1.0986122886681098,4.204692619390966,0.6931471805599453
gene-b4808,host,chiZ,3.2188758248682006,0.0,2.6390573296152584,1.6094379124341003,2.772588722239781,0.6931471805599453,2.302585092994046,1.9459101490553132,1.9459101490553132,0.6931471805599453,,0.6931471805599453
gene-b4411,host,ecnB,7.785305182539862,5.883322388488279,7.106606137727303,6.1779441140506,6.709304340258298,5.793013608384144,5.940171252720432,4.574710978503383,5.1298987149230735,3.6375861597263857,4.859812404361672,4.02535169073515
gene-b3907,host,rhaT,4.983606621708336,3.5263605246161616,4.859812404361672,3.258096538021482,4.795790545596741,2.0794415416798357,4.709530201312334,1.0986122886681098,4.812184355372417,1.0986122886681098,5.817111159963204,0.0
gene-b1504,host,ydeS,2.995732273553991,1.3862943611198906,3.6375861597263857,1.3862943611198906,3.367295829986474,1.3862943611198906,2.8903717578961645,0.6931471805599453,3.4339872044851463,0.0,4.6913478822291435,0.6931471805599453
gene-b1563,host,relE,5.918893854273146,4.990432586778736,6.270988431858299,4.9344739331306915,4.51085950651685,4.0943445622221,3.295836866004329,2.3978952727983707,4.007333185232471,2.5649493574615367,3.871201010907891,2.772588722239781
gene-b2789,host,gudP,4.276666119016055,2.1972245773362196,4.418840607796598,2.9444389791664403,4.51085950651685,2.302585092994046,4.02535169073515,1.3862943611198906,4.543294782270004,0.0,5.560681631015528,1.0986122886681098
gene-b3290,host,trkA,6.655440350367647,5.8664680569332965,7.062191632286556,6.520621127558696,5.318119993844216,5.459585514144159,4.718498871295094,4.2626798770413155,4.983606621708336,3.8501476017100584,5.529429087511423,3.5553480614894135
gene-b3017,host,ftsP,7.3613754289773485,6.210600077024653,7.5411524551363085,6.940222469119639,5.556828061699537,5.638354669333745,5.231108616854587,4.51085950651685,5.37989735354046,4.1588830833596715,5.720311776607412,4.174387269895637
gene-b4679,host,yohP,5.44673737166631,2.8903717578961645,4.477336814478207,3.1354942159291497,3.8501476017100584,2.0794415416798357,3.1780538303479458,1.6094379124341003,2.772588722239781,1.0986122886681098,3.1354942159291497,1.6094379124341003
gene-b2021,host,hisC,6.432940092739179,7.069023426578259,6.9865664594064265,7.608374474380783,5.7745515455444085,7.186144304522325,4.564348191467836,5.472270673671475,4.787491742782046,4.804021044733257,4.983606621708336,4.890349128221754
gene-b3934,host,cytR,10.963670814584455,5.267858159063328,5.976350909297934,5.568344503761097,4.6913478822291435,4.605170185988092,4.59511985013459,3.4011973816621555,4.663439094112067,2.70805020110221,5.568344503761097,3.1780538303479458
gene-b2881,host,xdhD,8.504715669905124,3.5263605246161616,5.834810737062605,3.9512437185814275,5.081404364984463,3.5553480614894135,5.056245805348308,2.772588722239781,5.209486152841421,1.9459101490553132,6.09807428216624,2.0794415416798357
gene-b4765,host,yadX,5.1298987149230735,2.9444389791664403,3.4965075614664802,3.4011973816621555,2.833213344056216,1.3862943611198906,2.70805020110221,1.0986122886681098,2.0794415416798357,0.6931471805599453,,1.0986122886681098
gene-b2873,host,hyuA,4.727387818712341,2.4849066497880004,4.499809670330265,2.6390573296152584,3.6888794541139363,2.302585092994046,4.110873864173311,1.0986122886681098,4.330733340286331,1.0986122886681098,5.303304908059076,1.3862943611198906
gene-b4553,host,ysaB,4.477336814478207,3.1354942159291497,4.007333185232471,2.6390573296152584,2.8903717578961645,1.6094379124341003,3.1780538303479458,1.6094379124341003,3.5263605246161616,0.0,4.330733340286331,0.0
gene-b1974,host,yodB,4.564348191467836,2.3978952727983707,4.2626798770413155,1.9459101490553132,3.7612001156935624,1.3862943611198906,3.258096538021482,0.0,3.1354942159291497,0.6931471805599453,4.290459441148391,0.0
gene-b3367,host,nirC,5.420534999272286,3.7376696182833684,4.8283137373023015,3.4011973816621555,4.330733340286331,3.044522437723423,4.2626798770413155,2.1972245773362196,4.418840607796598,0.6931471805599453,5.262690188904886,1.0986122886681098
gene-b4242,host,mgtA,7.1770187659099,7.61085279039525,7.205635176410364,8.364042011922063,6.267200548541362,7.60339933974067,5.8944028342648505,6.26530121273771,5.910796644040527,5.594711379601839,6.428105272684596,5.459585514144159
gene-b2624,host,alpA,5.883322388488279,1.3862943611198906,3.332204510175204,1.791759469228055,5.111987788356544,1.791759469228055,5.641907070938114,1.6094379124341003,3.7612001156935624,1.791759469228055,4.51085950651685,1.6094379124341003
